powerplant_id,region_id,distribution_date,energy_supplied,plant_name,capacity,plant_type,operator_id,region_name,area,population,operator_name,contact
85,2,2025-02-09,4482,Robinson-Brewer,190,Wind,7,concern,4778,285671,Andrew Molina,260-952-5460x9017

81,23,2025-02-01,3361,"Tapia, Thomas and Frey",868,Hydro,4,almost,7874,156719,Susan Kennedy,(304)623-7933

90,41,2025-01-15,9436,"Taylor, Walker and Martinez",96,Solar,6,probably,4696,454566,Sheryl Jenkins,001-292-646-9104x486

93,39,2025-02-04,5493,Phillips-Parks,446,Wind,18,final,3375,251396,Alexander Peck,596.919.9974

91,5,2025-01-07,4151,Washington-Rodriguez,357,Wind,9,leader,4787,957156,Jesus Farmer,001-761-463-3181x90875

4,32,2025-02-18,3432,Herrera PLC,360,Solar,3,event,5956,322658,Brittany Fisher,859-631-7851x3001

58,13,2025-02-15,2006,"Murray, Sanchez and Reynolds",429,Solar,13,how,3177,776469,Amanda Brewer,+1-709-384-6793x40569

13,7,2025-01-09,5101,Davis-Bonilla,880,Solar,18,entire,9471,153649,Alexander Peck,596.919.9974

36,29,2025-02-13,5333,Smith Ltd,183,Wind,12,produce,703,775317,Ana Wade,(251)275-8824x168

50,43,2025-02-13,3336,Ramirez PLC,321,Hydro,8,look,7876,984110,Jason Rogers,318.998.1018x29895

11,14,2025-01-03,7397,Miller-Jones,779,Wind,20,open,2974,951557,Lori Stevens,566-636-0830

19,21,2025-02-15,7904,Monroe-Torres,636,Hydro,5,speak,2076,415796,Abigail Bass,3279096207

35,21,2025-02-08,5067,"Ortiz, Floyd and Roman",843,Solar,15,speak,2076,415796,Thomas Ramsey Jr.,974-935-3350

22,15,2025-02-13,5256,Leonard Ltd,614,Nuclear,8,product,4684,162531,Jason Rogers,318.998.1018x29895

13,34,2025-01-10,8037,Davis-Bonilla,880,Solar,18,open,1610,182975,Alexander Peck,596.919.9974

100,38,2025-02-15,2891,"Romero, Warren and Hunt",528,Solar,11,serious,3957,995225,Nancy Taylor,456.498.4947

71,34,2025-02-16,5948,"Johnson, Terry and Wells",115,Hydro,9,open,1610,182975,Jesus Farmer,001-761-463-3181x90875

33,38,2025-01-13,7084,Bentley Ltd,354,Hydro,9,serious,3957,995225,Jesus Farmer,001-761-463-3181x90875

63,19,2025-02-07,2029,Martinez-Hill,502,Wind,3,onto,7913,928325,Brittany Fisher,859-631-7851x3001

66,19,2025-02-13,994,Hill-Frazier,972,Solar,16,onto,7913,928325,Jaime Schmidt,469.261.3586x0432

3,39,2025-02-02,6649,Brown Inc,438,Wind,18,final,3375,251396,Alexander Peck,596.919.9974

30,13,2025-01-26,612,"Barrett, Turner and Welch",111,Hydro,14,how,3177,776469,Eric James,631-884-7163x6622

67,33,2025-01-18,4878,Rivera Inc,752,Nuclear,19,side,6063,947493,Russell Moore,(267)386-4970x20501

87,36,2025-01-31,566,"Buchanan, Thomas and Kramer",58,Hydro,3,suggest,1365,638048,Brittany Fisher,859-631-7851x3001

17,36,2025-01-25,3796,Yang-Phillips,276,Wind,5,suggest,1365,638048,Abigail Bass,3279096207

63,50,2025-02-06,3564,Martinez-Hill,502,Wind,3,discussion,7517,60763,Brittany Fisher,859-631-7851x3001

65,20,2025-01-03,9412,Martinez-Petersen,675,Hydro,2,general,1092,178557,Karla Williams,746.435.9498

40,45,2025-02-15,1794,Taylor Group,253,Solar,18,your,5983,437390,Alexander Peck,596.919.9974

75,18,2025-01-10,7791,Moody-Jones,860,Nuclear,18,will,1895,371452,Alexander Peck,596.919.9974

12,6,2025-02-01,9009,Dixon Ltd,408,Hydro,12,wall,1707,496580,Ana Wade,(251)275-8824x168

3,48,2025-01-03,2987,Brown Inc,438,Wind,18,wall,9732,68927,Alexander Peck,596.919.9974

34,50,2025-01-25,1992,Roberts Ltd,108,Solar,19,discussion,7517,60763,Russell Moore,(267)386-4970x20501

42,37,2025-02-03,2476,Mccann-Cline,658,Wind,7,girl,7259,155879,Andrew Molina,260-952-5460x9017

9,31,2025-02-08,6845,"Hudson, Powell and Combs",64,Hydro,19,main,371,337108,Russell Moore,(267)386-4970x20501

60,16,2025-01-15,1220,Johnson Ltd,396,Wind,11,since,8610,173045,Nancy Taylor,456.498.4947

89,32,2025-01-09,8114,Bailey-Saunders,659,Solar,7,event,5956,322658,Andrew Molina,260-952-5460x9017

77,18,2025-02-14,4597,Davis Ltd,715,Solar,13,will,1895,371452,Amanda Brewer,+1-709-384-6793x40569

75,2,2025-02-18,8424,Moody-Jones,860,Nuclear,18,concern,4778,285671,Alexander Peck,596.919.9974

66,10,2025-01-08,171,Hill-Frazier,972,Solar,16,example,775,214555,Jaime Schmidt,469.261.3586x0432

82,16,2025-01-17,9099,Hart-Roth,875,Solar,8,since,8610,173045,Jason Rogers,318.998.1018x29895

32,46,2025-01-01,1012,Gallagher-Farrell,404,Wind,18,whom,3784,277709,Alexander Peck,596.919.9974

50,39,2025-02-05,1174,Ramirez PLC,321,Hydro,8,final,3375,251396,Jason Rogers,318.998.1018x29895

83,49,2025-01-16,3016,Lutz Ltd,281,Hydro,8,quite,7036,505364,Jason Rogers,318.998.1018x29895

9,13,2025-01-20,7558,"Hudson, Powell and Combs",64,Hydro,19,how,3177,776469,Russell Moore,(267)386-4970x20501

61,2,2025-01-27,2352,Williams PLC,691,Nuclear,8,concern,4778,285671,Jason Rogers,318.998.1018x29895

20,21,2025-02-03,995,"Larson, Aguilar and Peterson",143,Wind,11,speak,2076,415796,Nancy Taylor,456.498.4947

83,2,2025-01-14,5397,Lutz Ltd,281,Hydro,8,concern,4778,285671,Jason Rogers,318.998.1018x29895

41,43,2025-01-04,3010,Holmes-Martinez,525,Solar,18,look,7876,984110,Alexander Peck,596.919.9974

61,7,2025-02-03,3378,Williams PLC,691,Nuclear,8,entire,9471,153649,Jason Rogers,318.998.1018x29895

65,20,2025-01-16,3062,Martinez-Petersen,675,Hydro,2,general,1092,178557,Karla Williams,746.435.9498

32,42,2025-01-14,8106,Gallagher-Farrell,404,Wind,18,return,4345,15714,Alexander Peck,596.919.9974

29,1,2025-01-22,5466,Martinez-Allen,467,Solar,7,yourself,6875,283881,Andrew Molina,260-952-5460x9017

14,47,2025-02-18,7069,"Hunt, Sanchez and Bradley",388,Nuclear,3,attorney,1928,129170,Brittany Fisher,859-631-7851x3001

7,16,2025-01-03,8018,West-Morrison,600,Nuclear,10,since,8610,173045,Joseph Avery,(675)499-8210x26579

93,37,2025-01-12,6008,Phillips-Parks,446,Wind,18,girl,7259,155879,Alexander Peck,596.919.9974

22,19,2025-02-01,2831,Leonard Ltd,614,Nuclear,8,onto,7913,928325,Jason Rogers,318.998.1018x29895

21,40,2025-02-22,5526,Gomez-Lewis,915,Wind,14,about,8969,309357,Eric James,631-884-7163x6622

50,32,2025-02-03,5112,Ramirez PLC,321,Hydro,8,event,5956,322658,Jason Rogers,318.998.1018x29895

61,9,2025-02-03,2833,Williams PLC,691,Nuclear,8,worker,8069,831675,Jason Rogers,318.998.1018x29895

14,37,2025-01-12,8678,"Hunt, Sanchez and Bradley",388,Nuclear,3,girl,7259,155879,Brittany Fisher,859-631-7851x3001

90,37,2025-01-25,701,"Taylor, Walker and Martinez",96,Solar,6,girl,7259,155879,Sheryl Jenkins,001-292-646-9104x486

32,22,2025-02-01,284,Gallagher-Farrell,404,Wind,18,culture,3438,890453,Alexander Peck,596.919.9974

72,19,2025-01-13,9138,Walton Group,785,Nuclear,11,onto,7913,928325,Nancy Taylor,456.498.4947

23,36,2025-02-21,3228,Young Group,460,Hydro,9,suggest,1365,638048,Jesus Farmer,001-761-463-3181x90875

95,6,2025-01-14,2452,Rollins Group,494,Wind,6,wall,1707,496580,Sheryl Jenkins,001-292-646-9104x486

92,44,2025-01-27,8536,Butler-Acosta,643,Wind,7,training,4710,592423,Andrew Molina,260-952-5460x9017

87,49,2025-02-12,2321,"Buchanan, Thomas and Kramer",58,Hydro,3,quite,7036,505364,Brittany Fisher,859-631-7851x3001

16,34,2025-02-07,7417,Davis Group,158,Solar,7,open,1610,182975,Andrew Molina,260-952-5460x9017

62,46,2025-01-21,1996,Yoder PLC,839,Solar,2,whom,3784,277709,Karla Williams,746.435.9498

48,38,2025-01-08,8518,Gilbert PLC,491,Wind,18,serious,3957,995225,Alexander Peck,596.919.9974

5,47,2025-02-16,3216,"Nguyen, Barber and Carr",865,Nuclear,8,attorney,1928,129170,Jason Rogers,318.998.1018x29895

24,12,2025-01-17,7215,Pierce-Johnson,675,Nuclear,16,draw,7439,732796,Jaime Schmidt,469.261.3586x0432

54,29,2025-02-05,2701,Johnson-West,834,Hydro,5,produce,703,775317,Abigail Bass,3279096207

64,38,2025-01-15,5777,Lucas-Hansen,806,Solar,17,serious,3957,995225,Michael Owens,8093546257

21,27,2025-02-17,8132,Gomez-Lewis,915,Wind,14,million,8462,409281,Eric James,631-884-7163x6622

1,36,2025-02-22,2457,Jones-Alvarez,419,Nuclear,11,suggest,1365,638048,Nancy Taylor,456.498.4947

75,23,2025-01-06,5803,Moody-Jones,860,Nuclear,18,almost,7874,156719,Alexander Peck,596.919.9974

86,22,2025-02-01,1019,Thompson Group,378,Nuclear,1,culture,3438,890453,Geoffrey Rowe,+1-470-992-8199x713

70,40,2025-01-24,2829,"Hayden, Lewis and Lee",917,Wind,5,about,8969,309357,Abigail Bass,3279096207

89,45,2025-01-22,3413,Bailey-Saunders,659,Solar,7,your,5983,437390,Andrew Molina,260-952-5460x9017

55,31,2025-01-27,9914,"Gregory, Coleman and Mcdonald",502,Nuclear,1,main,371,337108,Geoffrey Rowe,+1-470-992-8199x713

19,47,2025-01-18,9652,Monroe-Torres,636,Hydro,5,attorney,1928,129170,Abigail Bass,3279096207

84,20,2025-02-15,2289,Hardin PLC,346,Nuclear,10,general,1092,178557,Joseph Avery,(675)499-8210x26579

69,22,2025-01-19,8014,Brown Inc,416,Solar,18,culture,3438,890453,Alexander Peck,596.919.9974

67,23,2025-02-06,3650,Rivera Inc,752,Nuclear,19,almost,7874,156719,Russell Moore,(267)386-4970x20501

21,47,2025-01-15,7236,Gomez-Lewis,915,Wind,14,attorney,1928,129170,Eric James,631-884-7163x6622

88,49,2025-02-16,3995,Obrien and Sons,657,Wind,7,quite,7036,505364,Andrew Molina,260-952-5460x9017

69,3,2025-01-09,4760,Brown Inc,416,Solar,18,style,6743,423946,Alexander Peck,596.919.9974

68,26,2025-01-10,2592,Serrano LLC,86,Solar,3,with,154,217686,Brittany Fisher,859-631-7851x3001

69,19,2025-01-01,755,Brown Inc,416,Solar,18,onto,7913,928325,Alexander Peck,596.919.9974

22,48,2025-02-06,6099,Leonard Ltd,614,Nuclear,8,wall,9732,68927,Jason Rogers,318.998.1018x29895

75,2,2025-01-25,2696,Moody-Jones,860,Nuclear,18,concern,4778,285671,Alexander Peck,596.919.9974

83,3,2025-02-22,5567,Lutz Ltd,281,Hydro,8,style,6743,423946,Jason Rogers,318.998.1018x29895

66,44,2025-01-22,5661,Hill-Frazier,972,Solar,16,training,4710,592423,Jaime Schmidt,469.261.3586x0432

99,4,2025-01-26,5489,"Rodriguez, Wright and Ewing",540,Wind,13,group,4637,483318,Amanda Brewer,+1-709-384-6793x40569

56,5,2025-01-02,343,Christensen Ltd,714,Solar,1,leader,4787,957156,Geoffrey Rowe,+1-470-992-8199x713

52,14,2025-02-11,6454,"Thomas, Dudley and Green",385,Nuclear,7,open,2974,951557,Andrew Molina,260-952-5460x9017

90,23,2025-02-02,7537,"Taylor, Walker and Martinez",96,Solar,6,almost,7874,156719,Sheryl Jenkins,001-292-646-9104x486

14,19,2025-02-07,6270,"Hunt, Sanchez and Bradley",388,Nuclear,3,onto,7913,928325,Brittany Fisher,859-631-7851x3001

89,19,2025-02-18,4923,Bailey-Saunders,659,Solar,7,onto,7913,928325,Andrew Molina,260-952-5460x9017

76,35,2025-02-14,8576,Ramirez LLC,515,Solar,2,artist,1120,171821,Karla Williams,746.435.9498

95,2,2025-02-17,5835,Rollins Group,494,Wind,6,concern,4778,285671,Sheryl Jenkins,001-292-646-9104x486

52,12,2025-02-04,668,"Thomas, Dudley and Green",385,Nuclear,7,draw,7439,732796,Andrew Molina,260-952-5460x9017

79,44,2025-02-22,2972,"Lynch, Jones and Wilson",626,Solar,18,training,4710,592423,Alexander Peck,596.919.9974

5,4,2025-01-23,4912,"Nguyen, Barber and Carr",865,Nuclear,8,group,4637,483318,Jason Rogers,318.998.1018x29895

89,3,2025-02-20,5624,Bailey-Saunders,659,Solar,7,style,6743,423946,Andrew Molina,260-952-5460x9017

94,21,2025-01-18,2307,Clark and Sons,334,Solar,13,speak,2076,415796,Amanda Brewer,+1-709-384-6793x40569

56,42,2025-01-30,2334,Christensen Ltd,714,Solar,1,return,4345,15714,Geoffrey Rowe,+1-470-992-8199x713

19,6,2025-01-03,4475,Monroe-Torres,636,Hydro,5,wall,1707,496580,Abigail Bass,3279096207

14,18,2025-01-28,9675,"Hunt, Sanchez and Bradley",388,Nuclear,3,will,1895,371452,Brittany Fisher,859-631-7851x3001

49,18,2025-02-17,9493,Huynh-Bishop,912,Hydro,11,will,1895,371452,Nancy Taylor,456.498.4947

61,11,2025-02-12,8925,Williams PLC,691,Nuclear,8,produce,7733,515402,Jason Rogers,318.998.1018x29895

32,37,2025-02-08,5366,Gallagher-Farrell,404,Wind,18,girl,7259,155879,Alexander Peck,596.919.9974

42,4,2025-02-07,7673,Mccann-Cline,658,Wind,7,group,4637,483318,Andrew Molina,260-952-5460x9017

45,32,2025-01-18,1052,"Nunez, Taylor and Neal",59,Solar,7,event,5956,322658,Andrew Molina,260-952-5460x9017

62,42,2025-01-21,4101,Yoder PLC,839,Solar,2,return,4345,15714,Karla Williams,746.435.9498

76,24,2025-01-26,7513,Ramirez LLC,515,Solar,2,down,9008,265642,Karla Williams,746.435.9498

73,36,2025-02-05,1957,"Lewis, Martin and Barber",273,Nuclear,19,suggest,1365,638048,Russell Moore,(267)386-4970x20501

24,12,2025-01-06,1828,Pierce-Johnson,675,Nuclear,16,draw,7439,732796,Jaime Schmidt,469.261.3586x0432

91,9,2025-02-02,1185,Washington-Rodriguez,357,Wind,9,worker,8069,831675,Jesus Farmer,001-761-463-3181x90875

9,27,2025-02-08,5898,"Hudson, Powell and Combs",64,Hydro,19,million,8462,409281,Russell Moore,(267)386-4970x20501

73,46,2025-01-12,957,"Lewis, Martin and Barber",273,Nuclear,19,whom,3784,277709,Russell Moore,(267)386-4970x20501

6,37,2025-01-29,8816,Burns-Clayton,986,Solar,5,girl,7259,155879,Abigail Bass,3279096207

6,32,2025-02-02,2167,Burns-Clayton,986,Solar,5,event,5956,322658,Abigail Bass,3279096207

72,1,2025-01-06,4014,Walton Group,785,Nuclear,11,yourself,6875,283881,Nancy Taylor,456.498.4947

1,6,2025-01-27,2334,Jones-Alvarez,419,Nuclear,11,wall,1707,496580,Nancy Taylor,456.498.4947

66,10,2025-01-13,5820,Hill-Frazier,972,Solar,16,example,775,214555,Jaime Schmidt,469.261.3586x0432

20,10,2025-02-08,4742,"Larson, Aguilar and Peterson",143,Wind,11,example,775,214555,Nancy Taylor,456.498.4947

51,42,2025-01-06,7799,Rios-Davis,685,Nuclear,8,return,4345,15714,Jason Rogers,318.998.1018x29895

41,22,2025-02-04,4037,Holmes-Martinez,525,Solar,18,culture,3438,890453,Alexander Peck,596.919.9974

91,43,2025-02-15,5605,Washington-Rodriguez,357,Wind,9,look,7876,984110,Jesus Farmer,001-761-463-3181x90875

49,14,2025-01-28,5272,Huynh-Bishop,912,Hydro,11,open,2974,951557,Nancy Taylor,456.498.4947

64,3,2025-01-06,6879,Lucas-Hansen,806,Solar,17,style,6743,423946,Michael Owens,8093546257

81,18,2025-01-14,5210,"Tapia, Thomas and Frey",868,Hydro,4,will,1895,371452,Susan Kennedy,(304)623-7933

11,48,2025-01-14,469,Miller-Jones,779,Wind,20,wall,9732,68927,Lori Stevens,566-636-0830

25,43,2025-01-31,6470,Castro Ltd,902,Nuclear,14,look,7876,984110,Eric James,631-884-7163x6622

99,11,2025-02-11,7741,"Rodriguez, Wright and Ewing",540,Wind,13,produce,7733,515402,Amanda Brewer,+1-709-384-6793x40569

31,43,2025-01-25,5740,Jackson-Blair,289,Wind,6,look,7876,984110,Sheryl Jenkins,001-292-646-9104x486

32,39,2025-02-18,165,Gallagher-Farrell,404,Wind,18,final,3375,251396,Alexander Peck,596.919.9974

85,35,2025-02-08,2059,Robinson-Brewer,190,Wind,7,artist,1120,171821,Andrew Molina,260-952-5460x9017

20,7,2025-02-10,5792,"Larson, Aguilar and Peterson",143,Wind,11,entire,9471,153649,Nancy Taylor,456.498.4947

33,50,2025-01-21,4208,Bentley Ltd,354,Hydro,9,discussion,7517,60763,Jesus Farmer,001-761-463-3181x90875

25,28,2025-02-15,2853,Castro Ltd,902,Nuclear,14,sometimes,3855,939660,Eric James,631-884-7163x6622

5,45,2025-02-12,833,"Nguyen, Barber and Carr",865,Nuclear,8,your,5983,437390,Jason Rogers,318.998.1018x29895

75,20,2025-01-31,9841,Moody-Jones,860,Nuclear,18,general,1092,178557,Alexander Peck,596.919.9974

96,36,2025-02-13,9111,"Herring, Fernandez and Johnson",333,Nuclear,14,suggest,1365,638048,Eric James,631-884-7163x6622

69,6,2025-01-18,2378,Brown Inc,416,Solar,18,wall,1707,496580,Alexander Peck,596.919.9974

10,25,2025-01-18,1827,Rice PLC,586,Solar,14,treatment,4393,700514,Eric James,631-884-7163x6622

94,47,2025-01-20,113,Clark and Sons,334,Solar,13,attorney,1928,129170,Amanda Brewer,+1-709-384-6793x40569

49,6,2025-02-21,3587,Huynh-Bishop,912,Hydro,11,wall,1707,496580,Nancy Taylor,456.498.4947

73,29,2025-02-10,9496,"Lewis, Martin and Barber",273,Nuclear,19,produce,703,775317,Russell Moore,(267)386-4970x20501

40,4,2025-01-07,506,Taylor Group,253,Solar,18,group,4637,483318,Alexander Peck,596.919.9974

66,16,2025-01-12,8779,Hill-Frazier,972,Solar,16,since,8610,173045,Jaime Schmidt,469.261.3586x0432

24,3,2025-01-20,8768,Pierce-Johnson,675,Nuclear,16,style,6743,423946,Jaime Schmidt,469.261.3586x0432

33,21,2025-02-17,1512,Bentley Ltd,354,Hydro,9,speak,2076,415796,Jesus Farmer,001-761-463-3181x90875

65,16,2025-01-28,3732,Martinez-Petersen,675,Hydro,2,since,8610,173045,Karla Williams,746.435.9498

77,37,2025-01-19,9081,Davis Ltd,715,Solar,13,girl,7259,155879,Amanda Brewer,+1-709-384-6793x40569

36,19,2025-02-18,2964,Smith Ltd,183,Wind,12,onto,7913,928325,Ana Wade,(251)275-8824x168

75,8,2025-02-09,2214,Moody-Jones,860,Nuclear,18,safe,9741,174598,Alexander Peck,596.919.9974

33,25,2025-02-01,6622,Bentley Ltd,354,Hydro,9,treatment,4393,700514,Jesus Farmer,001-761-463-3181x90875

18,10,2025-02-03,5853,Hull PLC,377,Solar,13,example,775,214555,Amanda Brewer,+1-709-384-6793x40569

29,26,2025-01-05,7293,Martinez-Allen,467,Solar,7,with,154,217686,Andrew Molina,260-952-5460x9017

18,14,2025-02-20,5262,Hull PLC,377,Solar,13,open,2974,951557,Amanda Brewer,+1-709-384-6793x40569

86,45,2025-01-12,4369,Thompson Group,378,Nuclear,1,your,5983,437390,Geoffrey Rowe,+1-470-992-8199x713

97,24,2025-02-09,6239,Smith PLC,155,Nuclear,1,down,9008,265642,Geoffrey Rowe,+1-470-992-8199x713

26,12,2025-02-01,5062,Farmer-Moore,460,Hydro,13,draw,7439,732796,Amanda Brewer,+1-709-384-6793x40569

81,23,2025-01-08,4992,"Tapia, Thomas and Frey",868,Hydro,4,almost,7874,156719,Susan Kennedy,(304)623-7933

3,21,2025-01-06,9687,Brown Inc,438,Wind,18,speak,2076,415796,Alexander Peck,596.919.9974

64,49,2025-01-31,3957,Lucas-Hansen,806,Solar,17,quite,7036,505364,Michael Owens,8093546257

32,28,2025-02-06,8620,Gallagher-Farrell,404,Wind,18,sometimes,3855,939660,Alexander Peck,596.919.9974

27,6,2025-02-21,9084,"Callahan, Fry and Wheeler",421,Hydro,16,wall,1707,496580,Jaime Schmidt,469.261.3586x0432

78,44,2025-01-31,5853,Lopez-Johnson,256,Wind,13,training,4710,592423,Amanda Brewer,+1-709-384-6793x40569

53,4,2025-01-06,4748,"Mills, Robinson and Mendoza",602,Wind,18,group,4637,483318,Alexander Peck,596.919.9974

36,18,2025-01-26,5339,Smith Ltd,183,Wind,12,will,1895,371452,Ana Wade,(251)275-8824x168

64,49,2025-02-11,7767,Lucas-Hansen,806,Solar,17,quite,7036,505364,Michael Owens,8093546257

61,6,2025-01-03,6737,Williams PLC,691,Nuclear,8,wall,1707,496580,Jason Rogers,318.998.1018x29895

69,20,2025-02-05,3467,Brown Inc,416,Solar,18,general,1092,178557,Alexander Peck,596.919.9974

80,18,2025-01-05,7602,Davis-Moran,554,Hydro,7,will,1895,371452,Andrew Molina,260-952-5460x9017

7,36,2025-01-31,2044,West-Morrison,600,Nuclear,10,suggest,1365,638048,Joseph Avery,(675)499-8210x26579

45,45,2025-02-09,6393,"Nunez, Taylor and Neal",59,Solar,7,your,5983,437390,Andrew Molina,260-952-5460x9017

71,31,2025-01-05,2026,"Johnson, Terry and Wells",115,Hydro,9,main,371,337108,Jesus Farmer,001-761-463-3181x90875

76,34,2025-02-07,4608,Ramirez LLC,515,Solar,2,open,1610,182975,Karla Williams,746.435.9498

93,33,2025-02-06,919,Phillips-Parks,446,Wind,18,side,6063,947493,Alexander Peck,596.919.9974

27,44,2025-01-28,2824,"Callahan, Fry and Wheeler",421,Hydro,16,training,4710,592423,Jaime Schmidt,469.261.3586x0432

1,31,2025-01-16,8229,Jones-Alvarez,419,Nuclear,11,main,371,337108,Nancy Taylor,456.498.4947

85,1,2025-01-28,3654,Robinson-Brewer,190,Wind,7,yourself,6875,283881,Andrew Molina,260-952-5460x9017

10,23,2025-01-22,8096,Rice PLC,586,Solar,14,almost,7874,156719,Eric James,631-884-7163x6622

90,23,2025-01-06,5214,"Taylor, Walker and Martinez",96,Solar,6,almost,7874,156719,Sheryl Jenkins,001-292-646-9104x486

6,27,2025-02-19,1385,Burns-Clayton,986,Solar,5,million,8462,409281,Abigail Bass,3279096207

37,12,2025-01-02,9698,"Hardy, Miller and Williams",110,Hydro,6,draw,7439,732796,Sheryl Jenkins,001-292-646-9104x486

17,12,2025-02-18,287,Yang-Phillips,276,Wind,5,draw,7439,732796,Abigail Bass,3279096207

11,41,2025-02-10,1577,Miller-Jones,779,Wind,20,probably,4696,454566,Lori Stevens,566-636-0830

1,23,2025-01-11,475,Jones-Alvarez,419,Nuclear,11,almost,7874,156719,Nancy Taylor,456.498.4947

97,40,2025-01-20,8896,Smith PLC,155,Nuclear,1,about,8969,309357,Geoffrey Rowe,+1-470-992-8199x713

79,36,2025-01-22,8898,"Lynch, Jones and Wilson",626,Solar,18,suggest,1365,638048,Alexander Peck,596.919.9974

62,30,2025-01-20,7386,Yoder PLC,839,Solar,2,must,7022,806990,Karla Williams,746.435.9498

82,50,2025-02-16,2129,Hart-Roth,875,Solar,8,discussion,7517,60763,Jason Rogers,318.998.1018x29895

24,33,2025-01-04,442,Pierce-Johnson,675,Nuclear,16,side,6063,947493,Jaime Schmidt,469.261.3586x0432

96,20,2025-01-05,3487,"Herring, Fernandez and Johnson",333,Nuclear,14,general,1092,178557,Eric James,631-884-7163x6622

9,6,2025-01-29,8425,"Hudson, Powell and Combs",64,Hydro,19,wall,1707,496580,Russell Moore,(267)386-4970x20501

78,32,2025-01-04,8914,Lopez-Johnson,256,Wind,13,event,5956,322658,Amanda Brewer,+1-709-384-6793x40569

91,10,2025-02-04,8615,Washington-Rodriguez,357,Wind,9,example,775,214555,Jesus Farmer,001-761-463-3181x90875

4,12,2025-01-28,3902,Herrera PLC,360,Solar,3,draw,7439,732796,Brittany Fisher,859-631-7851x3001

66,16,2025-02-08,6936,Hill-Frazier,972,Solar,16,since,8610,173045,Jaime Schmidt,469.261.3586x0432

52,26,2025-02-03,1042,"Thomas, Dudley and Green",385,Nuclear,7,with,154,217686,Andrew Molina,260-952-5460x9017

17,33,2025-01-29,560,Yang-Phillips,276,Wind,5,side,6063,947493,Abigail Bass,3279096207

42,25,2025-01-01,6981,Mccann-Cline,658,Wind,7,treatment,4393,700514,Andrew Molina,260-952-5460x9017

54,6,2025-01-12,9435,Johnson-West,834,Hydro,5,wall,1707,496580,Abigail Bass,3279096207

